date,open,high,low,close,volume,adj Close
2000-03-14,81.875,83.75,76.50,77.00,72364000,36.044433
2000-03-13,78.50,83.625,76.796883,78.75,65803200,36.863625
2000-03-10,84.00,84.0625,80.25,81.625,44699800,38.209439
2000-03-09,84.3125,85.00,80.125,84.00,56476400,39.3212
2000-03-08,77.375,83.5625,75.00,83.125,62781200,38.911604
2000-03-07,76.625,80.00,74.375,74.9375,53982200,35.078957
2000-03-06,74.8125,76.9375,72.375,75.75,45520600,35.459296
2000-03-03,71.125,75.125,70.171883,75.00,47974400,35.108214
2000-03-02,73.50,73.5625,67.875,68.50,52311000,32.065502
2000-03-01,73.75,74.50,70.75,71.50,44934400,33.469831
2000-02-29,73.375,74.4375,71.125,74.25,55586400,34.757132
2000-02-28,71.25,76.50,68.25,68.625,122316600,32.124016
2000-02-25,61.875,71.00,61.875,70.625,103186600,33.060235
2000-02-24,63.1875,65.0625,60.25,61.9375,70963200,28.993533
2000-02-23,60.1875,63.265621,59.625,63.0625,69664400,29.520156
2000-02-22,59.125,61.4375,56.3125,59.3125,75546200,27.764746
2000-02-18,61.6875,62.00,58.375,58.5625,63888400,27.413664
2000-02-17,61.75,62.75,60.00,61.625,40392600,28.847249
2000-02-16,61.00,62.5625,60.125,61.25,33489200,28.671708
2000-02-15,61.625,63.1875,59.125,61.375,47971400,28.730222
2000-02-14,60.875,62.25,58.625,62.1875,37599800,29.110561
2000-02-11,62.50,64.75,58.75,59.6875,55774000,27.940287
2000-02-10,60.00,62.625,58.00,62.3125,45288600,29.169074
2000-02-09,60.0625,61.3125,58.8125,59.9375,52471600,28.057314
2000-02-08,60.75,61.4375,59.00,59.5625,55718000,27.881773
2000-02-07,59.3125,60.00,58.875,59.9375,44691200,28.057314
2000-02-04,57.625,58.25,56.8125,57.8125,40916000,27.062582
2000-02-03,55.375,57.00,54.25,56.6875,55533200,26.535958
2000-02-02,54.9375,56.00,54.00,54.3125,63933000,25.424198
2000-02-01,51.25,54.3125,50.00,54.00,57105600,25.277914
2000-01-31,47.9375,50.125,47.0625,49.953121,68148000,23.383531
2000-01-28,51.50,51.9375,46.625,47.375,86394000,22.176688
2000-01-27,55.8125,56.6875,50.00,51.8125,61054000,24.253924
2000-01-26,56.75,58.9375,55.00,55.0625,47569200,25.77528
2000-01-25,55.0625,57.50,54.875,56.4375,53059200,26.418931
2000-01-24,60.25,60.375,54.00,54.1875,50022400,25.365685
2000-01-21,61.50,61.50,59.00,59.6875,50891000,27.940287
2000-01-20,59.00,60.25,58.125,59.25,54526800,27.735489
2000-01-19,56.125,58.25,54.00,57.125,49198400,26.740756
2000-01-18,107.875,114.50,105.625,111.25,66780000,26.038592
2000-01-14,109.00,111.375,104.75,106.812477,57078000,24.999969
2000-01-13,108.50,109.875,103.50,105.062477,55779200,24.590373
2000-01-12,112.25,112.25,103.687523,105.625,83443600,24.722034
2000-01-11,112.625,114.75,109.50,112.375,86585200,26.301904
2000-01-10,108.00,116.00,105.50,115.75,91518000,27.091838
2000-01-07,95.00,103.50,93.562477,103.375,91755600,24.195411
2000-01-06,100.156242,105.00,94.687523,96.00,109880000,22.469257
2000-01-05,101.625,106.375,96.00,102.00,166054000,23.873585
2000-01-04,115.50,118.625,105.00,107.687523,116824800,25.204777
2000-01-03,124.625,125.187523,111.625,118.125,98114800,27.647718
